title,url,type
دو‌ جنگ تمام عیار با نقش‌آفرینی چهار مدعی قهرمانی,https://www.varzesh3.com/news/1866468/دو-جنگ-تمام-عیار-با-نقش-آفرینی-چهار-مدعی-قهرمانی,['text-type']
مرتضی قیاسی بهترین آزادکار  قهرمانی کشور شد,https://www.varzesh3.com/news/1866459/مرتضی-قیاسی-بهترین-آزادکار-قهرمانی-کشور-شد,['text-type']
وعده فدراسیون کشتی برای برخورد قاطع با متخلفین,https://www.varzesh3.com/news/1866458/وعده-فدراسیون-کشتی-برای-برخورد-قاطع-با-متخلفین,['text-type']
سرمربی تیم ملی کشتی نونهالان مشخص شد,https://www.varzesh3.com/news/1866457/سرمربی-تیم-ملی-کشتی-نونهالان-مشخص-شد,['text-type']
جزئیات درگیری خانواده یک کشتی‌گیر با مربی مازندرانی,https://www.varzesh3.com/news/1866451/جزئیات-درگیری-خانواده-یک-کشتی-گیر-با-مربی-مازندرانی,['text-type']
رهبری: شکل ماندن وویوویچ باید اصلاح شود,https://www.varzesh3.com/news/1866450/رهبری-شکل-ماندن-وویوویچ-باید-اصلاح-شود,['text-type']
بازسازی پیست اسکیت آزادی پس از ۱۰ سال,https://www.varzesh3.com/news/1866449/بازسازی-پیست-اسکیت-آزادی-پس-از-۱۰-سال,['text-type']
ساعی: سجادی دوست من است و ورزش را درک می‌کند,https://www.varzesh3.com/news/1866448/ساعی-سجادی-دوست-من-است-و-ورزش-را-درک-می-کند,['text-type']
محبی: کشتی من محصول مشترک 2 نفر بود,https://www.varzesh3.com/news/1866442/محبی-کشتی-من-محصول-مشترک-2-نفر-بود,['text-type']
۸ تیم راه‌یافته به پلی‌آف هندبال مشخص شدند,https://www.varzesh3.com/news/1866441/۸-تیم-راه-یافته-به-پلی-آف-هندبال-مشخص-شدند,['text-type']
رضایی: طاهری در مرحله بعد آماده خواهد آمد,https://www.varzesh3.com/news/1866440/رضایی-طاهری-در-مرحله-بعد-آماده-خواهد-آمد,['text-type']
بیست و چهارمی هندبال ایران در قهرمانی مردان جهان,https://www.varzesh3.com/news/1866430/بیست-و-چهارمی-هندبال-ایران-در-قهرمانی-مردان-جهان,['text-type']
خلاصه هندبال کرواسی 43 - بحرین 32,https://video.varzesh3.com/video/270644/خلاصه-هندبال-کرواسی-43-بحرین-32,['video-type']
پیروزی گرگانی‌ها در بازی بزرگ هفته بیستم لیگ بسکتبال,https://www.varzesh3.com/news/1866429/پیروزی-گرگانی-ها-در-بازی-بزرگ-هفته-بیستم-لیگ-بسکتبال,['text-type']
تقدیر وزیر ورزش از هانیه رستمیان,https://video.varzesh3.com/video/270641/تقدیر-وزیر-ورزش-از-هانیه-رستمیان,['video-type']
نتایج هفته بیستم لیگ برتر بسکتبال,https://www.varzesh3.com/news/1866422/نتایج-هفته-بیستم-لیگ-برتر-بسکتبال,['text-type']
حذف پینگ‌پنگ‌باز ایران از مسابقات قطر,https://www.varzesh3.com/news/1866403/حذف-پینگ-پنگ-باز-ایران-از-مسابقات-قطر,['text-type']
خلاصه بسکتبال دنور ناگتس - اوکلاهاما سیتی تاندر,https://video.varzesh3.com/video/270623/خلاصه-بسکتبال-دنور-ناگتس-اوکلاهاما-سیتی-تاندر,['video-type']
خلاصه بسکتبال دالاس ماوریکس - لس آنجلس کلیپرز,https://video.varzesh3.com/video/270622/خلاصه-بسکتبال-دالاس-ماوریکس-لس-آنجلس-کلیپرز,['video-type']
جدال چهار تیم برای قهرمانی در تکواندو بانوان,https://www.varzesh3.com/news/1866386/جدال-چهار-تیم-برای-قهرمانی-در-تکواندو-بانوان,['text-type']
گلایه قهرمان المپیک و سرمربی تیم ملی در حضور سجادی,https://www.varzesh3.com/news/1866380/گلایه-قهرمان-المپیک-و-سرمربی-تیم-ملی-در-حضور-سجادی,['text-type']
خلاصه بسکتبال تورنتو رپترز - نیویورک نیکس,https://video.varzesh3.com/video/270620/خلاصه-بسکتبال-تورنتو-رپترز-نیویورک-نیکس,['video-type']
دو جلسه محرومیت جریمه توهین به داور!,https://www.varzesh3.com/news/1866367/دو-جلسه-محرومیت-جریمه-توهین-به-داور,['text-type']
بی‌رقیب ترین تیم دنیا با یک آمار شگفت‌انگیز,https://www.varzesh3.com/news/1866365/بی-رقیب-ترین-تیم-دنیا-با-یک-آمار-شگفت-انگیز,['text-type']
